Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_LY.Contig10.Fgenesh_Neurospora.4.final_new_mrna	0.000	No mitochondrial presequence	53(MPP), 54(Icp55)	-0.075	50-54	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_Neurospora.164.final_new_mrna	0.007	No mitochondrial presequence	8(MPP)	0.125	51-55	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.154.final_new_mrna	0.000	No mitochondrial presequence	54(MPP)	0.037		16-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.eannot.1620.final_new_mrna	0.000	No mitochondrial presequence	6(MPP)	-0.167		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.8.final_new_mrna	0.141	No mitochondrial presequence	8(MPP)	0.250		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_histo.70.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.053	86-90	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.Fgenesh_histo.16.final_new_mrna	0.030	No mitochondrial presequence	14(MPP), 15(Icp55)	0.143		2-11-high	-	-	1-6	-	-	-	-	11-16	-	-	-	-	-	-	
HISTO_ZT.Contig181.eannot.1586.final_new_mrna	0.003	No mitochondrial presequence	44(MPP)	0.114	29-33	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BS.Contig36.Fgenesh_Aspergillus.8.final_new_mrna	0.003	No mitochondrial presequence	24(MPP)	0.125	6-10,30-34,65-69	6-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.285.final_new_mrna	0.000	No mitochondrial presequence	29(MPP)	-0.069	31-35,84-88,93-97	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.2045.final_new_mrna	0.000	No mitochondrial presequence	33(MPP)	0.152	21-25,95-99	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig518.Fgenesh_Neurospora.62.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	-0.286		17-26-low	-	-	-	-	-	-	20-25	-	-	-	-	-	-	19-24	
HISTO_GL.Contig233.fgenesh_plus.16.final_new_mrna	0.003	No mitochondrial presequence	31(MPP)	-0.032		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31-snap.37.final_new_mrna	0.050	No mitochondrial presequence	29(MPP), 30(Icp55)	0.034	3-7	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.1969.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	-0.125	55-59	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.75.final_new_mrna	0.040	No mitochondrial presequence	35(MPP)	0.057	9-13	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.eannot.1735.final_new_mrna	0.000	No mitochondrial presequence	37(MPP)	0.054		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.217.final_new_mrna	0.006	No mitochondrial presequence	76(MPP)	-0.053		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.227.final_new_mrna	0.013	No mitochondrial presequence	32(MPP)	0.000		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_Neurospora.116.final_new_mrna	0.000	No mitochondrial presequence	13(MPP)	0.077		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.Fgenesh_histo.38.final_new_mrna	0.003	No mitochondrial presequence	58(MPP)	-0.017		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.17.final_new_mrna	0.003	No mitochondrial presequence	18(MPP)	0.056	51-55	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.Fgenesh_Aspergillus.78.final_new_mrna	0.009	No mitochondrial presequence	59(MPP)	0.000		10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.eannot.1559.final_new_mrna	0.010	No mitochondrial presequence	14(MPP)	0.143	83-87	10-19-low	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
HISTO_DK.Contig309.Fgenesh_Aspergillus.10.final_new_mrna	0.000	No mitochondrial presequence	21(MPP)	0.048	7-11	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.fgenesh_plus.34.final_new_mrna	0.000	No mitochondrial presequence	87(MPP)	-0.023		4-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_Neurospora.1.final_new_mrna	0.006	No mitochondrial presequence	67(MPP)	-0.060		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457-snap.89.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.000		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68-snap.13.final_new_mrna	0.000	No mitochondrial presequence	10(MPP), 11(Icp55)	0.300		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_histo.89.final_new_mrna	0.007	No mitochondrial presequence	19(MPP)	0.000	16-20	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Aspergillus.43.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	-0.125		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_Neurospora.107.final_new_mrna	0.022	No mitochondrial presequence	35(MPP)	-0.029		13-22-low	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_histo.76.final_new_mrna	0.048	No mitochondrial presequence	47(MPP)	0.064		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.2129.final_new_mrna	0.011	No mitochondrial presequence	27(MPP)	0.074	19-23,80-84	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_Aspergillus.144.final_new_mrna	0.000	No mitochondrial presequence	52(MPP)	0.038	49-53,69-73	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_histo.88.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	0.000	72-76,75-79	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_Aspergillus.93.final_new_mrna	0.027	No mitochondrial presequence	56(MPP)	-0.018		9-19-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	23-28	
HISTO_AZ.Contig47.Fgenesh_histo.15.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	-0.029	5-9	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_Neurospora.104.final_new_mrna	0.000	No mitochondrial presequence	30(MPP)	0.033	32-36	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DK.Contig309.eannot.1023.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	-0.041	6-10	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1898.final_new_mrna	0.282	No mitochondrial presequence	56(MPP)	0.107	37-41,71-75,92-96	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.35.final_new_mrna	0.003	No mitochondrial presequence	71(MPP), 72(Icp55)	-0.014		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.239.final_new_mrna	0.007	No mitochondrial presequence	29(MPP)	-0.069	12-16	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.eannot.1459.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	0.200		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_Aspergillus.27.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	-0.068	78-82	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JF.Contig157.eannot.1113.final_new_mrna	0.070	No mitochondrial presequence	29(MPP)	0.207	4-8,11-15	19-29-low	-	-	-	-	-	7-12	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.196.final_new_mrna	0.136	No mitochondrial presequence	22(MPP), 23(Icp55)	0.091		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_Aspergillus.130.final_new_mrna	0.000	No mitochondrial presequence	44(MPP)	0.000	4-8	20-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.eannot.1540.final_new_mrna	0.051	No mitochondrial presequence	71(MPP)	0.070	92-96	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_histo.100.final_new_mrna	0.034	No mitochondrial presequence	12(MPP)	-0.083		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.Fgenesh_histo.74.final_new_mrna	0.000	No mitochondrial presequence	63(MPP)	-0.127		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457-snap.147.final_new_mrna	0.033	No mitochondrial presequence	14(MPP)	0.143		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig204.Fgenesh_Neurospora.16.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.083		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_Aspergillus.96.final_new_mrna	0.013	No mitochondrial presequence	30(MPP)	0.100		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.265.final_new_mrna	0.000	No mitochondrial presequence	65(MPP)	0.046		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.genewise.206.final_new_mrna	0.000	No mitochondrial presequence	62(MPP)	0.000	59-63,93-97	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.genewise.7.final_new_mrna	0.009	No mitochondrial presequence	46(MPP)	-0.065	22-26,64-68,73-77	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.Fgenesh_histo.147.final_new_mrna	0.572	Possessing mitochondrial presequence	13(MPP), 14(Icp55)	0.308	4-8,80-84	9-18-low	-	-	-	-	-	-	-	-	-	-	7-12	-	-	-	
HISTO_ZT.Contig181.Fgenesh_Neurospora.128.final_new_mrna	0.000	No mitochondrial presequence	78(MPP)	0.090	75-79	3-12-low	-	-	-	-	-	-	-	-	-	-	7-12	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.259.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.079	62-66	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.210.final_new_mrna	0.000	No mitochondrial presequence	6(MPP)	0.000		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.Fgenesh_Aspergillus.83.final_new_mrna	0.023	No mitochondrial presequence	9(MPP)	0.222	37-41,56-60	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig2f.fgenesh_plus.1.final_new_mrna	0.000	No mitochondrial presequence	11(MPP)	0.182		21-30-low	-	-	-	-	-	-	-	-	-	-	5-10	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.106.final_new_mrna	0.000	No mitochondrial presequence	22(MPP)	0.000	19-23	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BI.Contig285.Fgenesh_histo.12.final_new_mrna	0.021	No mitochondrial presequence	44(MPP)	0.045		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.eannot.1354.final_new_mrna	0.007	No mitochondrial presequence	76(MPP)	0.053	95-99	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.eannot.1595.final_new_mrna	0.000	No mitochondrial presequence	13(MPP)	0.154	71-75	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_Aspergillus.62.final_new_mrna	0.069	No mitochondrial presequence	34(MPP)	0.059	1-5,16-20,88-92	12-21-high	18-23	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.eannot.1389.final_new_mrna	0.006	No mitochondrial presequence	16(MPP)	0.125		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.fgenesh_plus.23.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	0.000	65-69	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.eannot.1180.final_new_mrna	0.006	No mitochondrial presequence	22(MPP)	0.091	94-98	19-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.fgenesh_plus.22.final_new_mrna	0.000	No mitochondrial presequence	83(MPP), 84(Icp55)	-0.120	21-25,84-88	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.fgenesh_plus.34.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.083		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.eannot.2002.final_new_mrna	0.059	No mitochondrial presequence	19(MPP)	0.053	16-20,81-85	7-16-low	-	-	-	-	16-21	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.179.final_new_mrna	0.014	No mitochondrial presequence	81(MPP), 89(Oct1)	0.062	18-22,45-49	11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.Fgenesh_histo.79.final_new_mrna	0.003	No mitochondrial presequence	46(MPP)	-0.022	62-66	3-14-high	-	-	1-6	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FJ.Contig636.fgenesh_plus.5.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.083	45-49	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.309.final_new_mrna	0.960	Possessing mitochondrial presequence	8(MPP), 9(Icp55)	0.250	87-91	9-20-high	-	-	-	-	-	-	-	13-18	-	-	-	-	-	-	
HISTO_GX.Contig297.eannot.1519.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	-0.086		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.111.final_new_mrna	0.013	No mitochondrial presequence	23(MPP)	0.087	20-24	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_histo.12.final_new_mrna	0.000	No mitochondrial presequence	8(MPP), 16(Oct1)	0.125		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.eannot.1608.final_new_mrna	0.010	No mitochondrial presequence	39(MPP)	0.000	45-49	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207.Fgenesh_histo.37.final_new_mrna	0.055	No mitochondrial presequence	15(MPP)	0.200	5-9	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_Neurospora.49.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	-0.023	86-90	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.fgenesh_plus.42.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	0.000	20-24	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.105.final_new_mrna	0.008	No mitochondrial presequence	48(MPP)	-0.042		4-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LN.Contig75.Fgenesh_Aspergillus.11.final_new_mrna	0.075	No mitochondrial presequence	10(MPP)	0.100	42-46,48-52,73-77,76-80	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Neurospora.124.final_new_mrna	0.000	No mitochondrial presequence	9(MPP)	0.000		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.Fgenesh_histo.43.final_new_mrna	0.000	No mitochondrial presequence	23(MPP)	0.087	62-66	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.79.final_new_mrna	0.004	No mitochondrial presequence	59(MPP)	-0.034	49-53,78-82	16-25-low	-	-	-	-	-	-	21-26	-	-	-	-	-	-	20-25	
HISTO_ZZ.Contig127c.Fgenesh_histo.126.final_new_mrna	0.074	No mitochondrial presequence	73(MPP)	0.110	65-69,94-98	1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2051.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	-0.083		17-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_Aspergillus.115.final_new_mrna	0.020	No mitochondrial presequence	17(MPP)	0.176	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	8-13	-	-	-	
HISTO_FE.Contig19.eannot.1741.final_new_mrna	0.000	No mitochondrial presequence	44(MPP)	-0.045		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_histo.41.final_new_mrna	0.000	No mitochondrial presequence	53(MPP), 54(Icp55)	-0.094	50-54	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.6.final_new_mrna	0.000	No mitochondrial presequence	34(MPP)	0.059		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.121.final_new_mrna	0.000	No mitochondrial presequence	93(MPP)	-0.054		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AS.Contig189.Fgenesh_Neurospora.7.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	-0.083		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.eannot.1400.final_new_mrna	0.043	No mitochondrial presequence	44(MPP)	-0.023	1-5,64-68,94-98	17-26-low	-	-	-	-	-	-	-	-	-	-	4-9	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.28.final_new_mrna	0.382	No mitochondrial presequence	45(MPP)	0.089		2-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.142.final_new_mrna	0.112	No mitochondrial presequence	38(MPP)	0.000	86-90	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZH.Contig107.Fgenesh_Neurospora.10.final_new_mrna	0.000	No mitochondrial presequence	31(MPP)	-0.129		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167-snap.53.final_new_mrna	0.000	No mitochondrial presequence	52(MPP)	-0.058	49-53	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZA.Contig205.Fgenesh_Aspergillus.12.final_new_mrna	0.000	No mitochondrial presequence	23(MPP)	-0.087		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_histo.44.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	-0.020	1-5,93-97	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.17.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	-0.122	74-78	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZQ.Contig188.Fgenesh_Aspergillus.11.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.083	66-70	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.Fgenesh_Neurospora.47.final_new_mrna	0.208	No mitochondrial presequence	31(MPP)	0.129	7-11	2-11-high	-	-	8-13	-	7-12	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.eannot.1672.final_new_mrna	0.012	No mitochondrial presequence	81(MPP)	0.012	63-67	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.eannot.1416.final_new_mrna	0.003	No mitochondrial presequence	43(MPP), 44(Icp55)	0.047		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Neurospora.9.final_new_mrna	0.148	No mitochondrial presequence	60(MPP)	0.167	58-62	10-21-high	-	-	-	-	-	-	-	-	-	-	11-16	-	-	-	
HISTO_LN.Contig75.Fgenesh_histo.13.final_new_mrna	0.013	No mitochondrial presequence	49(MPP)	0.020	17-21	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.57.final_new_mrna	0.000	No mitochondrial presequence	62(MPP)	-0.032		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.67.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	-0.375		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1141.eannot.1175.final_new_mrna	0.000	No mitochondrial presequence	6(MPP), 7(Icp55)	0.000	10-14	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.fgenesh_plus.54.final_new_mrna	0.000	No mitochondrial presequence	67(MPP)	-0.015		12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.Fgenesh_Aspergillus.80.final_new_mrna	0.012	No mitochondrial presequence	31(MPP)	0.097	46-50,77-81	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.Fgenesh_histo.60.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	-0.062		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47-snap.90.final_new_mrna	0.078	No mitochondrial presequence	23(MPP)	0.043	16-20,29-33,47-51,50-54	11-20-high	-	-	-	-	16-21	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig286.Fgenesh_histo.12.final_new_mrna	0.099	No mitochondrial presequence	38(MPP)	0.158		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.eannot.1527.final_new_mrna	0.003	No mitochondrial presequence	42(MPP)	0.000	12-16,82-86	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93-snap.125.final_new_mrna	0.030	No mitochondrial presequence	30(MPP)	0.000		18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig285.eannot.1082.final_new_mrna	0.985	Possessing mitochondrial presequence	24(MPP), 25(Icp55)	0.250	47-51	9-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.145.final_new_mrna	0.005	No mitochondrial presequence	32(MPP)	0.062	18-22	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BI.Contig285.eannot.1100.final_new_mrna	0.005	No mitochondrial presequence	11(MPP)	0.000	8-12	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.54.final_new_mrna	0.010	No mitochondrial presequence	10(MPP)	0.100	1-5	1-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.8.final_new_mrna	0.005	No mitochondrial presequence	14(MPP)	0.143		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.68.final_new_mrna	0.010	No mitochondrial presequence	39(MPP)	0.026		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.181.final_new_mrna	0.000	No mitochondrial presequence	36(MPP), 37(Icp55)	0.028		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.Fgenesh_histo.96.final_new_mrna	0.000	No mitochondrial presequence	52(MPP)	0.096		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JF.Contig157.genewise.20.final_new_mrna	0.004	No mitochondrial presequence	18(MPP)	0.056	8-12	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.16.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	-0.171	60-64	1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.Fgenesh_histo.39.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	-0.150	91-95	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_IAA.Contig30.eannot.1024.final_new_mrna	0.024	No mitochondrial presequence	89(MPP)	0.000	24-28,52-56,86-90	16-27-low	-	-	-	-	-	-	-	-	-	-	-	23-28	-	-	
HISTO_DF.Contig537.Fgenesh_Neurospora.145.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	0.120	75-79	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.eannot.1509.final_new_mrna	0.000	No mitochondrial presequence	21(MPP)	0.048		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207.eannot.1387.final_new_mrna	0.005	No mitochondrial presequence	15(MPP)	-0.133	23-27	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LY.Contig16.Fgenesh_histo.23.final_new_mrna	0.532	Possessing mitochondrial presequence	35(MPP)	0.171	32-36,86-90	8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_Neurospora.101.final_new_mrna	0.000	No mitochondrial presequence	34(MPP)	-0.206		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
